a,ah,[sound:spanish-letter-a.mp3]
b,be,[sound:spanish-letter-b.mp3]
c,ce,[sound:spanish-letter-c.mp3]
d,de,[sound:spanish-letter-d.mp3]
e,eh,[sound:spanish-letter-e.mp3]
f,efe,[sound:spanish-letter-f.mp3]
g,heh,[sound:spanish-letter-g.mp3]
h,ahche,[sound:spanish-letter-h.mp3]
i,ee,[sound:spanish-letter-i.mp3]
j,hota,[sound:spanish-letter-j.mp3]
k,kah,[sound:spanish-letter-k.mp3]
l,ele,[sound:spanish-letter-l.mp3]
m,eme,[sound:spanish-letter-m.mp3]
n,ene,[sound:spanish-letter-n.mp3]
ñ,enye,[sound:spanish-letter-ñ.mp3]
o,oh,[sound:spanish-letter-o.mp3]
p,pe,[sound:spanish-letter-p.mp3]
q,ku,[sound:spanish-letter-q.mp3]
r,erre,[sound:spanish-letter-r.mp3]
s,ese,[sound:spanish-letter-s.mp3]
t,te,[sound:spanish-letter-t.mp3]
u,oo,[sound:spanish-letter-u.mp3]
v,uve,[sound:spanish-letter-v.mp3]
w,uve doble,[sound:spanish-letter-w.mp3]
x,equis,[sound:spanish-letter-x.mp3]
y,i griega,[sound:spanish-letter-y.mp3]
z,seta,[sound:spanish-letter-z.mp3]
